"Table A.1.1.1 Mainline, no wind, AW0, 40kmph KE",,,,,,
4,284.5,3780.7,429.2,3768.2,353.1,3785.3
5,562.6,3718,705.4,3697,630.4,3718.7
6,924.4,3593.2,1063.4,3561,990.4,3588.8
7,1211.6,3463.9,1346.7,3422.9,1275.9,3455.4
8,1392,3357.1,1523.8,3310.6,1454.8,3346
9,1483,3228.1,1610.9,3178.8,1544,3215.7
10,1524,2082.3,1617.5,2031.7,1573.5,2087.7
10',1524,2082.3,1617.5,1982,1573.5,2037.9
11,1524,1742.7,1607.4,1642.4,1570.5,1698.3
12,1504.5,1618.7,1584.3,1519,1549.9,1574.5
13,1413,1236.9,1482.3,1285.6,1455.1,1234.3
14,1448,1236.9,1513.8,1285.1,1485.8,1235.6
15,1448,1207.9,1513,1113.6,1485.6,1163.1
16,1435.9,1205.3,1500.9,1111.3,1473.5,1160.6
17,1372.5,930.9,1433.4,837.4,1412.1,888
18,1372.5,430.6,1420.4,341.4,1408.5,386.4
19,0,430.6,47.9,376,36,397.5
,,,,,,
79,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure B.2.4.1 Platform,with wind,AW0,45kmph Results",,,,,,
,,,,,,
80,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
Appendix C Depot Line Result,,,,,,
,,,,,,
"Appendix C.1 No wind, normal suspension, AW0",,,,,,
,,,,,,
"C.1.1  Deport, no wind,AW0,15kmph Results",,,,,,
,,,,,,
"Table C.1.1.1 Deport, no wind,AW0,15kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,62.6,3854,24.3,3855.3
2,50.9,3850,113.5,3853.6,75.2,3855.1
3,60.4,3800,122.6,3803.5,84.5,3805.1
4,284.5,3780.7,346.6,3782.4,308.5,3784.9
5,562.6,3718,624.2,3717.3,586.4,3721.1
6,924.4,3593.2,985,3589.5,947.8,3594.9
7,1211.6,3463.9,1271.1,3458.1,1234.5,3464.5
8,1392,3357.1,1450.7,3349.8,1414.5,3357
9,1483,3228.1,1540.7,3220.1,1505.1,3227.7
10,1524,2082.3,1573,2073.9,1542.4,2081.7
10',1524,2082.3,1573,2024.2,1542.4,2031.9
11,1524,1742.7,1570.5,1684.6,1541.4,1692.3
12,1504.5,1618.7,1550.2,1560.7,1521.6,1568.4
13,1413,1236.9,1456.1,1247.9,1429.2,1240.9
14,1448,1236.9,1487.7,1248.6,1462.8,1240.9
15,1448,1207.9,1487.5,1150.1,1462.7,1157.8
16,1435.9,1205.3,1475.4,1147.6,1450.6,1155.2
17,1372.5,930.9,1413.8,874.3,1388.2,881
18,1372.5,430.6,1410.8,374,1389.9,385.7
19,0,430.6,38.3,383.4,17.4,380.4
,,,,,,
"Figure C.1.1.1 Deport,no wind,AW0,15kmph Results",,,,,,
,,,,,,
82,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"C.1.2  Deport, no wind,AW0,20kmph Results",,,,,,
,,,,,,
"Table C.1.2.1 Deport, no wind,AW0,20kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,66.2,3853.9,23.7,3860.5
2,50.9,3850,117.1,3853.4,74.6,3860.3
3,60.4,3800,126.2,3803.3,84,3810.2
4,284.5,3780.7,350.1,3782,308,3790.1
5,562.6,3718,627.7,3716.7,585.9,3726.3
6,924.4,3593.2,988.4,3588.7,947.2,3600.1
7,1211.6,3463.9,1274.5,3456.8,1234,3469.7
8,1392,3357.1,1453.9,3348.3,1414,3362.2
9,1483,3228.1,1543.8,3218.5,1504.5,3232.8
10,1524,2082.3,1575.1,2072.3,1541.9,2081.3
10',1524,2082.3,1575.1,2022.6,1541.9,2031.5
11,1524,1742.7,1572.4,1683,1541,1691.9
12,1504.5,1618.7,1552,1559.1,1521.2,1568
13,1413,1236.9,1457.6,1249.7,1429.2,1237.1
14,1448,1236.9,1489.2,1250.1,1462.5,1241.6
15,1448,1207.9,1489,1148.6,1462.4,1157.1
16,1435.9,1205.3,1476.9,1146.1,1450.3,1154.6
17,1372.5,930.9,1415,872.4,1389.8,884.6
18,1372.5,430.6,1411.5,372.1,1391.8,384.1
19,0,430.6,39,382.9,19.3,380
,,,,,,
83,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure C.1.2.1 Deport,no wind,AW0,20kmph Results",,,,,,
,,,,,,
84,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"C.1.3  Deport, no wind,AW0,25kmph Results",,,,,,
,,,,,,
"Table C.1.3.1 Deport, no wind,AW0,25kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,65.6,3854.1,28.1,3860.4
2,50.9,3850,116.5,3853.6,79,3860.1
3,60.4,3800,125.6,3803.6,88.3,3810.1
4,284.5,3780.7,349.6,3782.3,312.3,3789.7
5,562.6,3718,627.1,3717.1,590.1,3725.7
6,924.4,3593.2,987.9,3589.1,951.4,3599.2
7,1211.6,3463.9,1274,3457.3,1238,3468.6
8,1392,3357.1,1453.4,3348.9,1418,3361
9,1483,3228.1,1543.4,3219.1,1508.4,3232.2
10,1524,2082.3,1574.9,2072.9,1544.9,2086.2
10',1524,2082.3,1574.9,2023.1,1544.9,2036.5
11,1524,1742.7,1572.3,1683.5,1543.7,1696.9
12,1504.5,1618.7,1551.9,1559.7,1523.8,1573.8
13,1413,1236.9,1457.6,1249.2,1431.3,1234.5
14,1448,1236.9,1489.2,1249.5,1464.5,1236.5
15,1448,1207.9,1489,1149.2,1464.4,1163.1
16,1435.9,1205.3,1476.9,1146.7,1452.3,1160.5
17,1372.5,930.9,1415,873,1390.8,884.2
18,1372.5,430.6,1411.7,372.7,1392.6,383.9
19,0,430.6,39.2,383.1,20.1,380.4
,,,,,,
85,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure C.1.3.1 Deport,no wind,AW0,25kmph Results",,,,,,
,,,,,,
86,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"C.1.4  Deport, no wind,AW0,30kmph Results",,,,,,
,,,,,,
"Table C.1.4.1 Deport, no wind,AW0,30kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,70.7,3858.1,33.1,3861.2
2,50.9,3850,121.6,3857.5,84,3860.9
3,60.4,3800,130.6,3807.4,93.2,3810.8
4,284.5,3780.7,354.5,3785.8,317.2,3790.3
5,562.6,3718,631.9,3720.7,595,3726
6,924.4,3593.2,992.6,3592.3,956.1,3599.2
7,1211.6,3463.9,1278.5,3460.1,1242.6,3468.3
8,1392,3357.1,1457.9,3351.5,1422.5,3360.5
9,1483,3228.1,1547.7,3221.6,1512.8,3230.9
10,1524,2082.3,1578,2075.4,1548.2,2085.9
10',1524,2082.3,1578,2025.7,1548.2,2036.1
11,1524,1742.7,1575,1686.1,1546.7,1696.5
12,1504.5,1618.7,1554.5,1562.3,1526.7,1572.6
13,1413,1236.9,1459.8,1246.5,1433.8,1235.5
14,1448,1236.9,1491.6,1247.2,1467.1,1236.7
15,1448,1207.9,1491.4,1151.6,1467,1162
16,1435.9,1205.3,1479.3,1149.1,1454.9,1159.5
17,1372.5,930.9,1416.9,875.7,1392.5,887.8
18,1372.5,430.6,1413,375.4,1391.9,383.7
19,0,430.6,40.5,387.3,19.4,380.9
,,,,,,
87,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure C.1.4.1 Deport,no wind,AW0,30kmph Results",,,,,,
,,,,,,
88,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Appendix C.2 With wind, normal suspension, AW0",,,,,,
,,,,,,
"C.2.1  Deport, with wind,AW0,15kmph Results",,,,,,
,,,,,,
"Table C.2.1.1 Deport, with wind,AW0,15kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,101,3854.2,24.3,3855.3
2,50.9,3850,151.9,3853.3,75.2,3855.1
3,60.4,3800,160.6,3803.1,84.5,3805.1
4,284.5,3780.7,384.3,3779.8,308.5,3784.9
5,562.6,3718,661.3,3712,586.4,3721.1
6,924.4,3593.2,1020.9,3581,947.8,3594.9
7,1211.6,3463.9,1305.8,3446.5,1234.5,3464.5
8,1392,3357.1,1484.3,3336.5,1414.5,3357
9,1483,3228.1,1573.1,3205.9,1505.1,3227.7
10,1524,2082.3,1594.2,2059.3,1542.4,2081.7
10',1524,2082.3,1594.2,2009.6,1542.4,2031.9
11,1524,1742.7,1588.6,1670.4,1541.4,1692.3
12,1504.5,1618.7,1567,1546.7,1521.6,1568.4
13,1413,1236.9,1469.3,1261.4,1429.2,1240.9
14,1448,1236.9,1500.9,1262.1,1462.8,1240.9
15,1448,1207.9,1500.5,1136.6,1462.7,1157.8
16,1435.9,1205.3,1488.3,1134.2,1450.6,1155.2
17,1372.5,930.9,1424,861.2,1388.2,881
18,1372.5,430.6,1416.2,361.2,1387.3,380.6
19,0,430.6,43.7,383.7,14.8,384.1
,,,,,,
"Figure C.2.1.1 Deport,with wind,AW0,15kmph Results",,,,,,
,,,,,,
90,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"C.2.2  Deport, with wind,AW0,20kmph Results",,,,,,
,,,,,,
"Table C.2.2.1 Deport, with wind,AW0,20kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,106.6,3853.9,23.7,3854.8
2,50.9,3850,157.5,3852.9,74.6,3854.6
3,60.4,3800,166,3802.7,83.9,3804.6
4,284.5,3780.7,389.8,3779,307.9,3784.4
5,562.6,3718,666.7,3710.9,585.8,3720.7
6,924.4,3593.2,1026.1,3579,947.2,3594.5
7,1211.6,3463.9,1310.8,3444.1,1233.9,3464.1
8,1392,3357.1,1489.1,3333.7,1414,3356.6
9,1483,3228.1,1577.7,3203,1504.5,3227.3
10,1524,2082.3,1597.2,2056.9,1541.9,2081.3
10',1524,2082.3,1597.2,2007.1,1541.9,2031.5
11,1524,1742.7,1591,1667.5,1541,1691.9
12,1504.5,1618.7,1569.2,1543.9,1521.2,1568
13,1413,1236.9,1470.9,1264,1428.9,1241.7
14,1448,1236.9,1502.6,1264.8,1462.5,1241.6
15,1448,1207.9,1502.1,1134,1462.4,1157.1
16,1435.9,1205.3,1490,1131.6,1450.3,1154.6
17,1372.5,930.9,1425.1,858.6,1387.8,880.3
18,1372.5,430.6,1416.6,358.9,1387,379.7
19,0,430.6,44.1,383.4,14.5,382.9
,,,,,,
91,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure C.2.2.1 Deport,with wind,AW0,20kmph Results",,,,,,
,,,,,,
92,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"C.2.3  Deport, with wind,AW0,25kmph Results",,,,,,
,,,,,,
"Table C.2.3.1 Deport, with wind,AW0,25kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,112.2,3854,23.8,3850.3
2,50.9,3850,163.1,3853,74.7,3850.1
3,60.4,3800,171.6,3802.8,84,3800
4,284.5,3780.7,395.3,3778.8,308,3779.7
5,562.6,3718,672.1,3710.3,585.9,3715.7
6,924.4,3593.2,1031.3,3577.9,947.1,3589.2
7,1211.6,3463.9,1315.9,3442.6,1233.8,3458.6
8,1392,3357.1,1494.1,3332,1413.7,3350.9
9,1483,3228.1,1582.4,3201.1,1504.2,3228.2
10,1524,2082.3,1600.2,2054.5,1541.7,2082.3
10',1524,2082.3,1600.2,2004.7,1541.7,2032.5
11,1524,1742.7,1593.5,1665.1,1540.9,1692.9
12,1504.5,1618.7,1571.6,1541.5,1521.1,1569
13,1413,1236.9,1472.7,1266.3,1428.8,1240.6
14,1448,1236.9,1504.4,1267.1,1462.2,1241.1
15,1448,1207.9,1503.9,1131.7,1462.1,1157.6
16,1435.9,1205.3,1491.7,1129.3,1450,1155.1
17,1372.5,930.9,1426.4,856.4,1387.9,881.3
18,1372.5,430.6,1417,356.1,1387.2,380.8
19,0,430.6,44.5,383,14.7,383.7
,,,,,,
93,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure C.2.3.1 Deport,with wind,AW0,25kmph Results",,,,,,
,,,,,,
94,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
"C.2.4  Deport, with wind,AW0,30kmph Results",,,,,,
,,,,,,
"Table C.2.4.1 Deport, with wind,AW0,30kmph KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,113.2,3853.2,33.1,3861.2
2,50.9,3850,164.1,3852,84,3860.9
3,60.4,3800,172.4,3801.8,93.2,3810.8
4,284.5,3780.7,396.1,3777,317.2,3790.3
5,562.6,3718,672.7,3707.6,595,3726
6,924.4,3593.2,1031.5,3574.1,956.1,3599.2
7,1211.6,3463.9,1315.6,3437.8,1242.6,3468.3
8,1392,3357.1,1493.5,3326.6,1422.5,3360.5
9,1483,3228.1,1581.4,3195.4,1512.8,3230.9
10,1524,2082.3,1598,2061.3,1548.2,2085.9
10',1524,2082.3,1598,2011.5,1548.2,2036.1
11,1524,1742.7,1591.8,1671.9,1546.7,1696.5
12,1504.5,1618.7,1570.1,1548.3,1526.7,1572.6
13,1413,1236.9,1471.9,1259.6,1433.8,1235.5
14,1448,1236.9,1503.9,1260.6,1467.1,1236.7
15,1448,1207.9,1503.4,1138.1,1467,1162
16,1435.9,1205.3,1491.2,1135.7,1454.9,1159.5
17,1372.5,930.9,1426.1,863,1392.5,887.8
18,1372.5,430.6,1417.5,362.7,1391.5,390.8
19,0,430.6,45,387.4,19,393.5
,,,,,,
95,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure C.2.4.1 Deport,with wind,AW0,30kmph Results",,,,,,
,,,,,,
96,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
Appendix D Station Platform Suspension,,,,,,
Fault Result,,,,,,
,,,,,,
"D.1  Platform, no wind,AW3,45.1kmph,Primary fault",,,,,,
,,,,,,
"Table D.1.1 Platform, no wind,AW3,45.1kmph,Primary fault KE",,,,,,
,,,,,,
NO.,,CE,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,84,3830.7,43.1,3847
2,50.9,3850,134.9,3830,94,3846.6
3,60.4,3800,143.7,3779.9,103.1,3796.5
4,284.5,3780.7,367.5,3757.5,327,3775.1
5,562.6,3718,644.8,3691,604.5,3709.7
6,924.4,3593.2,1004.9,3561.3,965.2,3581.5
7,1211.6,3463.9,1290.4,3428,1251.2,3449.5
8,1392,3357.1,1469.4,3318.8,1430.6,3341
9,1483,3228.1,1558.7,3188.5,1520.5,3211.2
10,1524,2082.3,1584.7,2042.2,1552,2062.8
10',1524,2082.3,1584.7,1991,1552,2011.6
11,1524,1742.7,1580.5,1651.4,1553,1672
12,1504.5,1618.7,1559.4,1527.7,1533.9,1548
13,1413,1236.9,1463.3,1249.4,1443.6,1230.5
14,1448,1236.9,1493.4,1249,1475,1229.3
15,1448,1207.9,1493.1,1118.3,1475.1,1138.1
16,1435.9,1205.3,1481,1115.9,1463,1135.4
17,1372.5,930.9,1419.3,841.6,1404.3,859.9
18,1372.5,430.6,1413.7,338.2,1407.4,379.4
19,0,430.6,41.2,354.7,34.9,369.2
,,,,,,
"Figure D.1.1 Platform,no wind,AW3,45.1kmph,Primary fault Results",,,,,,
,,,,,,
98,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"D.2 Platform, no wind,AW3,45.1kmph,Secondary fault",,,,,,
,,,,,,
"Table D.2.1 Platform, no wind,AW3,45.1kmph,Secondary fault KE",,,,,,
,,,,,,
NO.,,,,L Side KE,,R Side KE
,Y0,Z0,Y1,Z1,Y2,Z2
1,0,3850,91.9,3858.2,80.3,3854.8
2,50.9,3850,142.8,3857.3,131.2,3853.8
3,60.4,3800,151.5,3807.1,139.8,3803.6
4,284.5,3780.7,375.2,3783.9,363.6,3780.2
5,562.6,3718,652.2,3716.2,640.5,3712.3
6,924.4,3593.2,1011.9,3585,1000,3580.8
7,1211.6,3463.9,1296.8,3450.6,1284.9,3446.2
8,1392,3357.1,1475.4,3340.7,1463.3,3336
9,1483,3228.1,1564.1,3210,1552,3205.3
10,1524,2082.3,1585.6,2063.5,1572.5,2058.8
10',1524,2082.3,1585.6,1954,1572.5,1949.3
11,1524,1742.7,1580,1614.4,1566.6,1609.7
12,1504.5,1618.7,1558.4,1490.8,1544.9,1486
13,1413,1236.9,1460.8,1240.9,1446.9,1245.6
14,1448,1236.9,1491.9,1237.9,1479.9,1241.7
15,1448,1207.9,1491.5,1084.4,1479.4,1080.6
16,1435.9,1205.3,1479.3,1082,1467.2,1078.2
17,1372.5,930.9,1415.5,805.2,1407,822.4
18,1372.5,430.6,1407.8,301.4,1408.4,322.1
19,0,430.6,35.3,323.6,35.9,319.5
,,,,,,
99,,,,,,
,,,,,,
CRC Boston Red Line Metro Vehicle Clearance Calculation Report,,,,,,
,,,,,,
"Figure D.2.1 Platform,no wind,AW3,45.1kmph,Secondary fault Results",,,,,,
,,,,,,
100,,,,,,
